City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Nouadhibou,60,MR,1561403949,73,20.93,-17.03,73.4,21.92
Kamenka,35,RU,1561404015,51,53.19,44.05,73.99,8.19
Tuktoyaktuk,90,CA,1561404015,81,69.44,-133.03,48.2,6.93
Mazagao,40,BR,1561404015,66,-0.12,-51.29,87.8,8.05
Cidreira,100,BR,1561404016,54,-30.17,-50.22,77.48,11.01
Lubango,0,AO,1561404016,83,-14.92,13.49,61.82,3.27
Victoria,75,BN,1561404016,94,5.28,115.24,78.8,2.59
Goderich,100,CA,1561403868,76,43.74,-81.71,77.0,8.99
Mar del Plata,66,AR,1561404017,33,-46.43,-67.52,43.64,16.58
Uruzgan,0,AF,1561404017,15,32.93,66.63,65.06,3.02
Hambantota,5,LK,1561403903,94,6.12,81.12,82.4,10.29
Bako,100,NG,1561404017,84,9.68,6.4,74.06,3.38
Upernavik,47,GL,1561403883,89,72.79,-56.15,36.62,9.75
Hilo,1,US,1561404018,58,19.71,-155.08,84.0,5.61
Along,92,IN,1561404018,98,28.17,94.8,61.64,0.72
Iranshahr,0,IR,1561404018,8,27.21,60.69,100.4,9.17
Manaus,40,BR,1561403844,58,-3.13,-59.98,89.6,3.36
Ulaangom,25,MN,1561404018,44,49.98,92.07,54.26,5.3
Saint-Philippe,1,CA,1561403811,24,45.36,-73.48,81.0,5.82
Ahuimanu,90,US,1561404019,88,21.44,-157.84,80.6,2.44
Bethel,75,US,1561404019,59,60.79,-161.76,64.4,2.75
Harper,40,US,1561404008,78,30.3,-99.24,88.0,16.11
Toro,40,CO,1561404019,73,4.61,-76.08,77.0,4.7
Val-David,75,CA,1561403856,33,46.03,-74.21,81.0,4.7
Hithadhoo,68,MV,1561403623,70,-0.6,73.08,83.96,3.2
Kaitangata,62,NZ,1561404020,79,-46.28,169.85,46.0,5.99
Nurota,0,UZ,1561404020,15,40.56,65.69,78.8,9.17
Haukipudas,0,FI,1561404020,62,65.17,25.5,57.2,4.7
Langxiang,83,CN,1561404020,89,46.95,128.87,62.9,3.78
Tuatapere,84,NZ,1561404021,95,-46.13,167.69,44.01,4.0
Atuona,0,PF,1561404021,77,-9.8,-139.03,81.62,14.85
Pitimbu,20,BR,1561404021,65,-7.47,-34.81,82.4,12.75
Jamestown,100,AU,1561404021,63,-33.21,138.6,44.0,6.31
Singkang,75,MY,1561404021,88,2.1,102.8,80.6,4.7
Puerto Ayora,75,EC,1561404022,73,-0.74,-90.35,77.0,16.11
Mataura,78,NZ,1561403623,95,-46.19,168.86,44.01,3.0
Aylesbury,90,GB,1561404022,69,51.82,-0.81,75.99,4.7
Salalah,75,OM,1561404022,89,17.01,54.1,84.2,10.29
Campoverde,0,IT,1561404022,58,41.54,12.73,89.6,3.36
Faanui,56,PF,1561404023,80,-16.48,-151.75,77.66,23.87
Rio Gallegos,0,AR,1561404023,48,-51.62,-69.22,39.2,12.75
Bluff,0,AU,1561404023,54,-23.58,149.07,52.46,11.65
Barrow,100,AR,1561403623,50,-38.31,-60.23,56.96,7.02
Kodiak,1,US,1561403622,23,39.95,-94.76,77.0,14.99
Brookfield,90,US,1561403905,88,41.82,-87.85,73.99,9.17
Hamilton,75,CA,1561403895,65,43.26,-79.87,84.99,12.75
Tvoroyri,40,FO,1561404024,76,61.56,-6.81,51.8,6.93
Ahipara,16,NZ,1561404024,83,-35.17,173.16,57.5,20.29
Estelle,75,US,1561404025,69,32.87,-97.01,86.0,6.93
Abonnema,75,NG,1561404025,88,4.71,6.79,75.2,3.36
Dakar,0,SN,1561403795,65,14.69,-17.45,80.6,10.29
Gelgaudiskis,92,LT,1561404025,75,55.08,22.98,66.5,4.97
Kavieng,18,PG,1561404025,77,-2.57,150.8,83.24,7.38
Katsuura,20,JP,1561404025,82,33.93,134.5,66.2,6.93
Vestmannaeyjar,75,IS,1561404026,93,63.44,-20.27,53.6,9.17
Wuda,92,CN,1561404026,56,39.5,106.72,74.06,6.71
Husavik,84,CA,1561404026,32,50.56,-96.99,78.01,8.01
Inhambane,0,MZ,1561404026,88,-23.87,35.38,66.2,2.73
Nanortalik,77,GL,1561404026,65,60.14,-45.24,49.76,12.37
Broome,0,GB,1561404027,60,52.47,1.45,75.2,6.93
Saint George,75,GR,1561404027,61,39.45,22.34,82.4,5.88
Zyryanka,84,RU,1561404027,54,65.73,150.89,59.48,5.48
Kruisfontein,100,ZA,1561404027,92,-34.0,24.73,52.1,10.4
Sambava,4,MG,1561404028,98,-14.27,50.17,66.14,1.7
Nikolskoye,20,RU,1561403603,52,59.7,30.79,64.4,11.18
Belmonte,89,PT,1561403876,78,40.36,-7.35,63.0,1.01
Amahai,65,ID,1561404028,87,-3.31,129.0,77.3,13.0
Sheridan,40,US,1561404028,23,39.65,-105.03,82.0,11.41
Nantucket,1,US,1561404029,64,41.28,-70.1,82.99,10.29
Lompoc,20,US,1561403821,72,34.64,-120.46,70.0,9.17
Khatanga,99,RU,1561404029,56,71.98,102.47,67.58,5.26
Oromocto,1,CA,1561404029,33,45.85,-66.47,73.0,5.82
Flinders,90,AU,1561404029,93,-34.58,150.85,57.0,1.12
Esperance,20,TT,1561404029,58,10.24,-61.45,88.0,19.46
Ulaanbaatar,40,MN,1561404030,77,47.92,106.92,64.4,13.42
Muscat,35,OM,1561404030,84,23.6,58.55,91.4,5.82
Cockburn Town,28,TC,1561404030,78,21.46,-71.14,80.9,13.15
Kutum,49,SD,1561404030,21,14.2,24.66,88.46,6.98
Anadyr,0,RU,1561404030,54,64.73,177.51,55.0,2.24
Sitka,0,US,1561404031,42,37.17,-99.65,81.0,8.99
Clyde River,75,CA,1561404031,58,70.47,-68.59,53.6,19.46
Kalengwa,23,ZM,1561404031,47,-13.47,25.0,60.38,4.07
Ambilobe,24,MG,1561404031,81,-13.19,49.05,71.18,4.92
Sao Francisco,0,BR,1561404031,37,-25.65,-53.85,82.4,9.17
Puerto Carreno,40,CO,1561404032,59,6.19,-67.49,89.6,7.05
Leshukonskoye,88,RU,1561404032,70,64.9,45.76,43.46,8.88
Severo-Kurilsk,59,RU,1561403863,91,50.68,156.12,42.2,1.92
Huarmey,58,PE,1561404032,84,-10.07,-78.15,62.9,12.66
Agirish,17,RU,1561404032,57,61.92,63.02,49.76,6.62
Fereydun Kenar,0,IR,1561404032,79,36.69,52.52,84.2,8.48
Mount Gambier,100,AU,1561404033,75,-37.83,140.78,46.4,5.82
Narsaq,75,GL,1561404033,30,60.91,-46.05,68.0,6.93
Karratha,0,AU,1561404033,49,-20.74,116.85,66.5,1.88
Carnarvon,72,ZA,1561404033,34,-30.97,22.13,48.68,5.68
Pangkalanbuun,92,ID,1561403956,97,-2.68,111.62,72.62,2.35
Kudahuvadhoo,65,MV,1561404033,73,2.67,72.89,85.04,10.13
Havre-Saint-Pierre,90,CA,1561403971,47,50.23,-63.6,59.0,13.87
Qaanaaq,94,GL,1561404034,71,77.48,-69.36,33.74,6.2
Alice Springs,4,AU,1561404034,47,-23.7,133.88,37.4,4.7
Batagay-Alyta,63,RU,1561404034,51,67.8,130.41,58.04,5.66
Manta,94,RO,1561404034,81,45.1,24.1,69.92,5.97
Sampit,87,ID,1561404035,97,-2.54,112.95,73.34,2.21
Waddan,0,LY,1561404035,14,29.16,16.14,96.92,7.29
Kandrian,2,PG,1561404035,92,-6.21,149.55,73.7,2.64
Brainerd,90,US,1561404035,77,46.36,-94.2,68.0,6.93
Santa Rosa,100,AR,1561404037,52,-36.62,-64.29,58.76,6.89
Ostrovnoy,40,RU,1561404037,72,68.05,39.51,44.0,6.17
Sol-Iletsk,42,RU,1561404037,54,51.16,55.0,76.22,3.44
Aksu,0,KZ,1561404037,100,52.04,76.93,55.4,4.47
Ponta do Sol,0,BR,1561404038,47,-20.63,-46.0,74.6,2.19
Cabo San Lucas,5,MX,1561403843,40,22.89,-109.91,96.01,5.82
Mollendo,55,PE,1561404038,76,-17.03,-72.02,60.74,3.74
Aykhal,0,RU,1561403842,54,65.95,111.51,57.2,4.47
Yellowknife,75,CA,1561403528,49,62.45,-114.38,71.6,8.05
Luderitz,1,NA,1561404039,93,-26.65,15.16,51.8,2.24
Det Udom,0,TH,1561404039,83,14.9,105.08,82.4,4.7
Chernyshevskiy,26,RU,1561404040,73,63.01,112.47,55.52,4.68
Weston,1,US,1561404040,36,41.2,-73.38,86.0,8.05
Port Hardy,75,CA,1561404041,76,50.7,-127.42,55.4,6.93
Podporozhye,59,RU,1561404041,83,60.91,34.16,54.26,2.59
Illapel,100,CL,1561404041,72,-31.63,-71.17,52.82,6.76
Port Alfred,100,ZA,1561404041,87,-33.59,26.89,57.99,5.01
Riyadh,0,SA,1561404004,12,24.63,46.72,91.4,4.54
Tiksi,0,RU,1561404042,62,71.64,128.87,51.2,3.49
Flin Flon,90,CA,1561404042,72,54.77,-101.88,60.8,4.7
Magistralnyy,0,RU,1561404042,48,56.17,107.45,52.82,4.76
Vaini,100,IN,1561403808,89,15.34,74.49,78.2,3.49
Dingle,100,PH,1561404043,88,11.0,122.67,74.96,1.59
Broken Hill,93,AU,1561404043,59,-31.97,141.45,44.6,3.36
Taoudenni,0,ML,1561404043,5,22.68,-3.98,112.4,10.18
Srednekolymsk,0,RU,1561404043,45,67.46,153.71,66.5,6.96
Wakefield,20,GB,1561403979,82,53.68,-1.5,72.0,3.36
Kapaa,90,US,1561404044,83,22.08,-159.32,84.99,3.36
Lagoa,20,PT,1561404044,68,37.14,-8.45,70.0,11.41
Dikson,52,RU,1561403562,62,73.51,80.55,44.36,10.25
Singaraja,0,ID,1561404044,72,-8.11,115.08,78.92,4.68
Khartoum,3,SD,1561404044,18,15.59,32.54,96.8,3.85
Libenge,73,CD,1561404045,80,3.65,18.64,76.04,2.42
Guerrero Negro,96,MX,1561403808,81,27.97,-114.04,64.34,9.8
Oxford,40,US,1561404045,66,33.61,-85.83,89.01,12.75
Gorele,75,TR,1561404045,73,41.03,39.0,77.0,6.93
Sile,1,US,1561404045,18,35.56,-106.37,81.0,4.7
Rosarito,40,CO,1561404046,73,4.91,-75.23,84.2,4.7
Provideniya,37,RU,1561404046,77,64.42,-173.23,46.16,1.54
Airai,11,TL,1561403588,85,-8.93,125.41,65.96,6.44
Usinsk,98,RU,1561404046,84,66.0,57.56,42.38,11.48
Teya,40,MX,1561404046,29,21.05,-89.07,104.0,23.04
Pipri,82,IN,1561404047,49,24.21,83.02,91.88,5.5
Grindavik,40,IS,1561404047,76,63.84,-22.43,53.6,12.75
Punta Alta,0,AR,1561404047,42,-27.46,-55.82,84.2,9.17
Chumikan,100,RU,1561404047,98,54.72,135.31,43.1,2.15
Hernani,75,ES,1561404047,88,43.27,-1.98,69.01,6.93
Codrington,75,AU,1561404048,100,-28.95,153.24,59.0,5.46
Portland,75,US,1561403861,48,45.52,-122.67,66.0,4.7
Mahebourg,75,MU,1561403820,94,-20.41,57.7,71.01,19.46
Sao Geraldo do Araguaia,60,BR,1561404048,53,-6.4,-48.55,86.12,3.29
Hermagor,20,AT,1561404048,50,46.63,13.37,82.99,3.36
Port Keats,4,AU,1561404049,28,-14.25,129.55,61.82,13.51
Pisco,20,PE,1561403852,30,-13.71,-76.2,71.6,10.29
Boa Vista,40,BR,1561404050,55,2.82,-60.67,87.8,6.93
Outlook,95,CA,1561404050,58,51.48,-107.04,66.0,5.01
Fairbanks,75,US,1561403955,82,64.84,-147.72,64.4,3.36
Kampong Chhnang,100,KH,1561404050,85,12.25,104.67,80.54,4.25
Sibolga,86,ID,1561404013,68,1.74,98.78,83.24,4.72
Orgovany,40,HU,1561404050,83,46.75,19.47,73.4,2.24
Kahului,20,US,1561403763,69,20.89,-156.47,80.6,11.41
Peniche,20,PT,1561404051,72,39.36,-9.38,69.01,6.93
Ust-Tsilma,88,RU,1561404051,68,65.44,52.15,46.52,6.85
Taltal,81,CL,1561404051,73,-25.41,-70.49,56.96,6.08
Kamaishi,100,JP,1561404051,99,39.28,141.86,55.34,2.82
Kulynychi,0,UA,1561404051,54,49.98,36.38,80.6,15.66
Fortuna,0,ES,1561404052,69,38.18,-1.13,84.0,5.82
Beira,20,ES,1561404052,82,43.2,-8.36,69.01,4.7
Liuhe,39,CN,1561404052,81,42.28,125.73,62.72,8.79
Maxixe,0,MZ,1561404052,88,-23.86,35.35,66.2,2.73
Tyukhtet,49,RU,1561404053,70,56.54,89.31,49.76,4.83
Ketchikan,40,US,1561404053,63,55.34,-131.65,60.8,11.41
Hofn,20,IS,1561404053,59,64.25,-15.21,60.8,12.75
Jiazi,0,CN,1561404053,94,19.61,110.49,77.0,3.33
Machilipatnam,0,IN,1561404053,77,16.18,81.14,85.04,7.27
Victor Harbor,0,AU,1561404054,71,-35.55,138.62,51.8,9.17
Itaqui,100,BR,1561404054,61,-29.13,-56.55,78.56,14.0
Svetlogorsk,40,RU,1561404054,64,53.14,59.15,73.4,8.95
Avera,1,US,1561404054,43,33.19,-82.53,93.99,11.41
Genhe,16,CN,1561404054,97,50.78,121.52,48.68,4.07
Charters Towers,0,AU,1561404055,75,-20.07,146.27,53.0,7.99
Namatanai,61,PG,1561404055,85,-3.66,152.44,79.28,9.4
Longyearbyen,75,NO,1561404055,87,78.22,15.63,44.6,6.93
Ayorou,24,NE,1561404055,13,14.73,0.92,107.72,5.44
Moose Factory,1,CA,1561404055,31,51.26,-80.61,77.0,9.17
Norman Wells,20,CA,1561404056,56,65.28,-126.83,69.8,9.17
Nishihara,90,JP,1561404056,93,35.74,139.53,69.01,5.12
Lamu,67,ID,1561404056,88,0.57,122.3,74.78,4.88
Caucaia,0,BR,1561404056,61,-3.73,-38.66,86.0,16.11
Wattegama,95,LK,1561404056,89,7.35,80.68,75.14,4.38
Miranda,75,CO,1561404057,55,3.25,-76.23,86.0,3.36
Pacific Grove,20,US,1561404057,67,36.62,-121.92,86.0,11.41
Ushtobe,33,KZ,1561404057,25,45.25,77.98,71.54,11.12
Jumla,0,NP,1561404057,89,29.28,82.18,53.18,3.04
Comodoro Rivadavia,0,AR,1561404057,49,-45.87,-67.48,46.4,11.41
Kansanshi,0,ZM,1561404058,46,-12.1,26.43,58.58,3.22
Leningradskiy,2,RU,1561404058,78,69.38,178.42,37.34,2.1
Kenai,40,US,1561404058,76,60.55,-151.26,66.99,10.29
Hagi,0,JP,1561404058,73,34.43,131.51,64.0,0.51
Trelew,100,AR,1561404058,38,-43.25,-65.31,47.24,18.25
Haines Junction,41,CA,1561403885,63,60.75,-137.51,60.02,2.62
Batticaloa,97,LK,1561404059,83,7.71,81.69,79.1,3.33
Yulara,1,AU,1561404059,41,-25.24,130.99,41.0,6.93
Vardo,1,US,1561403833,74,39.62,-77.74,88.0,5.82
Opuwo,0,NA,1561404059,46,-18.06,13.84,59.3,9.13
Kuruman,2,ZA,1561404059,46,-27.46,23.43,41.0,5.12
Ribeira Grande,20,PT,1561404060,56,38.52,-28.7,71.6,11.41
Hami,0,CN,1561403850,28,42.84,93.51,72.8,10.96
Phalodi,65,IN,1561404060,52,27.13,72.36,87.92,6.6
Terrace,75,CA,1561404060,67,54.52,-128.61,59.0,8.05
Arlit,0,NE,1561404061,4,18.74,7.39,107.18,14.09
Biak,96,ID,1561404061,98,-0.91,122.88,64.52,4.14
Labuhan,4,ID,1561404061,96,-2.54,115.51,71.54,0.98
Steamboat Springs,40,US,1561404061,37,40.48,-106.83,73.4,10.29
Ancud,40,CL,1561403526,75,-41.87,-73.83,44.6,10.29
Lixourion,0,GR,1561404061,61,38.2,20.43,82.4,17.22
Nadym,47,RU,1561404062,73,65.53,72.51,42.92,9.66
Pak Phanang,86,TH,1561404062,89,8.35,100.2,77.48,4.27
Solnechnyy,100,RU,1561404062,99,50.72,136.64,57.5,3.2
Chara,75,GR,1561404062,61,39.42,22.43,82.4,5.88
Sarangani,100,PH,1561404062,71,5.4,125.46,83.6,4.99
Kostroma,0,RU,1561404063,59,57.77,40.93,60.8,4.47
Azare,93,NG,1561404063,43,11.67,10.19,88.46,8.66
Torbay,75,CA,1561404063,52,47.66,-52.73,64.4,14.99
Gumla,28,IN,1561404063,66,23.04,84.54,80.9,6.33
Muramvya,66,BI,1561404063,83,-3.27,29.62,59.12,3.8
Kadaya,28,RU,1561404064,90,50.93,119.29,51.02,5.59
Amet,88,IN,1561404064,46,25.3,73.93,88.1,11.41
Constanza,75,DO,1561404064,46,18.91,-70.74,93.2,12.75
Adrar,0,DZ,1561404064,8,27.87,-0.29,111.2,9.17
Iralaya,40,HN,1561403887,70,15.0,-83.23,87.8,5.82
Altay,21,CN,1561404065,53,47.83,88.13,40.94,3.85
Lamar,1,US,1561404065,21,38.09,-102.62,82.4,11.41
Starkville,1,US,1561403927,55,33.45,-88.82,87.8,5.82
Lewistown,1,US,1561404065,69,40.39,-90.15,80.6,24.16
Mareeba,20,AU,1561404065,87,-16.99,145.42,60.8,9.17
Shellbrook,75,CA,1561404066,77,53.22,-106.39,62.6,3.36
Deputatskiy,0,RU,1561404066,55,69.3,139.9,54.8,8.46
Henties Bay,0,NA,1561404066,91,-22.12,14.28,54.0,3.0
San Ignacio,75,CL,1561404067,81,-36.8,-72.03,55.0,6.93
Dhidhdhoo,8,MV,1561404067,76,6.88,73.1,83.96,15.1
Kuusamo,0,FI,1561404067,58,65.96,29.19,55.4,4.7
Lagos,75,NG,1561404067,94,6.46,3.39,73.4,9.71
Caravelas,9,BR,1561404068,72,-17.73,-39.27,77.3,7.58
Bisira,100,PA,1561404068,76,8.52,-81.71,80.18,0.63
Bukama,13,CD,1561404068,36,-9.2,25.85,69.56,3.11
Itapui,0,BR,1561404068,37,-22.23,-48.72,82.4,9.17
Sistranda,0,NO,1561404068,67,63.73,8.83,57.99,8.05
Angoche,37,MZ,1561404069,95,-16.23,39.91,67.94,4.07
Saint Anthony,1,US,1561404069,32,43.97,-111.68,72.0,13.87
San Patricio,62,PY,1561403885,55,-26.98,-56.83,79.82,9.71
Weinan,51,CN,1561404069,94,34.5,109.46,68.0,2.24
Castro,40,CL,1561404070,75,-42.48,-73.76,44.6,10.29
Los Llanos de Aridane,40,ES,1561403806,69,28.66,-17.92,77.0,6.93
Richards Bay,1,ZA,1561404070,56,-28.77,32.06,69.92,2.01
Tongliao,92,CN,1561404070,47,43.61,122.27,71.18,14.67
Muisne,99,EC,1561404070,85,0.61,-80.02,76.94,16.64
Hasaki,20,JP,1561404071,100,35.73,140.83,61.0,2.24
Meulaboh,99,ID,1561404071,73,4.14,96.13,83.06,6.6
Sungairaya,83,ID,1561404072,81,0.7,108.9,83.78,16.2
Bagan,48,RU,1561404072,66,54.1,77.67,56.96,2.91
Nome,1,US,1561404072,69,30.04,-94.42,82.99,10.29
Nueva Gorgona,90,PA,1561404072,88,8.56,-79.88,87.8,4.65
Durant,75,US,1561404072,78,33.99,-96.37,86.0,5.82
Makakilo City,75,US,1561403957,100,21.35,-158.09,80.6,7.23
Sulangan,100,PH,1561404073,74,11.14,123.72,82.88,7.27
Isangel,90,VU,1561404073,94,-19.55,169.27,69.8,16.24
Baykit,0,RU,1561403889,65,61.68,96.39,57.86,3.62
Olden,75,NO,1561404073,72,61.84,6.81,62.01,3.36
Ponta Delgada,40,PT,1561404039,64,37.73,-25.67,68.0,13.87
Kysyl-Syr,72,RU,1561404074,84,63.9,122.77,57.86,1.86
Oltu,2,TR,1561404074,88,40.55,42.0,58.22,3.33
Camacha,75,PT,1561404074,88,33.08,-16.33,73.4,11.41
Te Anau,0,NZ,1561404074,86,-45.41,167.72,38.78,0.74
Wanning,0,AT,1561404074,53,48.64,13.53,77.0,8.05
Anito,100,PH,1561404075,96,12.45,125.29,75.86,4.07
Sur,31,OM,1561403877,58,22.57,59.53,86.66,9.04
Ponoka,75,CA,1561403800,59,52.68,-113.59,60.8,16.11
Gold Coast,90,AU,1561404075,93,-28.0,153.41,57.2,10.29
Pizhanka,100,RU,1561404075,68,57.46,48.54,59.12,5.93
Osmena,100,PH,1561404075,80,12.17,124.59,83.24,13.4
Constitucion,20,MX,1561403843,22,23.99,-104.67,82.0,4.7
Saldanha,99,PT,1561404076,82,41.42,-6.55,59.84,3.6
Mayumba,40,GA,1561404076,82,-3.44,10.65,74.96,9.46
Chor,19,PK,1561404076,48,25.52,69.77,92.96,15.05
Mengcheng,100,CN,1561404076,57,33.26,116.57,76.04,10.33
Talnakh,0,RU,1561403421,82,69.49,88.39,55.4,8.95
Pangnirtung,20,CA,1561404077,57,66.15,-65.72,51.8,18.34
Yumen,52,CN,1561404077,40,40.29,97.04,71.18,6.64
Kamiiso,100,JP,1561404077,96,41.82,140.65,51.56,0.4
Georgetown,20,GY,1561403785,88,6.8,-58.16,82.4,11.41
Vallenar,90,CL,1561404078,77,-28.58,-70.76,54.62,9.84
Saint-Pierre,0,FR,1561404078,58,48.95,4.24,82.4,8.05
Araci,70,BR,1561404078,65,-11.34,-38.96,78.74,10.92
Bontang,100,ID,1561404079,99,0.12,117.47,73.52,0.83
Marrakesh,0,MA,1561404079,19,31.63,-7.99,91.4,6.93
Toora-Khem,100,RU,1561404079,93,52.47,96.11,45.26,7.38
Mbanza-Ngungu,48,CD,1561404079,53,-5.25,14.87,74.78,4.16
Dovers,75,VC,1561404079,79,12.88,-61.18,84.2,11.41
Imbituba,0,BR,1561403986,39,-28.24,-48.67,84.2,5.82
Peace River,90,CA,1561403879,82,56.23,-117.29,59.0,9.17
Ilulissat,40,GL,1561404080,57,69.22,-51.1,48.2,5.82
Palauig,100,PH,1561404080,72,15.44,119.9,84.86,9.95
Sisimiut,32,GL,1561404080,92,66.94,-53.67,38.6,15.26
Morgan City,1,US,1561404039,78,29.7,-91.21,84.0,4.7
Harer,1,US,1561404080,27,42.19,-111.17,75.0,21.92
Lagunas,79,PE,1561404081,60,-5.23,-75.68,84.14,5.14
Soyo,20,AO,1561404081,88,-6.13,12.37,75.2,5.82
Bull Savanna,3,JM,1561404081,79,17.89,-77.59,81.08,8.63
Abidjan,20,CI,1561404006,94,5.32,-4.02,77.0,9.17
Jackville,20,CI,1561404081,94,5.21,-4.42,77.0,9.17
Si Bun Ruang,100,TH,1561404082,78,16.97,102.28,78.92,2.42
Tomatlan,0,MX,1561404082,64,19.93,-105.25,83.96,12.1
Georgiyevskoye,1,RU,1561404082,96,44.16,39.25,66.68,2.01
Grand Gaube,75,MU,1561404082,94,-20.01,57.66,70.0,18.34
Trairi,6,BR,1561404082,57,-3.28,-39.27,84.86,7.18
Sao Filipe,39,CV,1561404083,81,14.9,-24.5,73.88,18.75
Gat,0,SN,1561404083,65,14.69,-16.54,80.6,10.29
Westport,40,IE,1561404083,82,53.8,-9.52,63.0,8.05
El Tigre,62,VE,1561404083,56,8.89,-64.25,87.2,13.35
Coihaique,20,CL,1561404084,52,-45.58,-72.07,44.6,9.17
Tahe,22,CN,1561404084,95,52.34,124.71,48.86,2.46
Yar-Sale,70,RU,1561404084,75,66.83,70.83,40.94,8.68
Buluang,90,PH,1561404084,78,10.47,123.98,80.6,2.24
Juterbog,0,DE,1561404084,36,51.98,13.08,82.99,6.93
Bay Roberts,75,CA,1561404085,52,47.58,-53.28,64.4,14.99
Staryy Nadym,31,RU,1561404085,79,65.61,72.68,39.32,8.08
Luau,0,CD,1561404085,38,-10.7,22.23,66.5,3.22
Vostok,77,RU,1561404085,96,46.45,135.83,60.02,4.94
Kishi,81,NG,1561404086,87,9.08,3.85,75.32,12.73
Tromso,75,NO,1561404086,81,69.65,18.96,50.0,17.22
Chimore,17,BO,1561404086,51,-16.98,-65.13,81.44,4.34
Umm Lajj,0,SA,1561404086,57,25.02,37.27,88.1,10.07
Newark,75,US,1561404030,35,40.74,-74.17,87.01,12.75
Kolga,0,EE,1561404086,59,59.49,25.62,62.6,10.29
Lekoni,67,GA,1561404087,45,-1.58,14.26,83.24,3.09
Krasnoarmeysk,0,RU,1561404087,45,56.12,38.15,71.6,4.47
Port Lincoln,100,AU,1561404087,75,-34.72,135.86,51.02,19.06
Faya,0,SA,1561404087,68,18.39,42.45,78.8,4.7
Sioux Lookout,90,CA,1561404088,93,50.1,-91.92,62.6,5.82
North Bend,1,US,1561404088,63,43.41,-124.22,71.01,16.11
San Jeronimo,0,PE,1561404088,36,-13.65,-73.37,60.8,7.52
Hanna,60,CA,1561404088,59,51.64,-111.93,66.0,7.0
Malanje,0,AO,1561404089,30,-9.54,16.35,68.84,4.9
Isla Vista,90,US,1561404089,82,34.41,-119.86,73.4,10.29
Margate,0,AU,1561403848,69,-43.03,147.26,39.2,8.05
Chimbote,100,PE,1561404089,87,-9.08,-78.59,62.36,8.59
Atambua,4,ID,1561403859,74,-9.11,124.89,76.04,19.17
Lebedinyy,32,RU,1561404089,84,58.52,125.52,43.28,2.04
Bhadrak,27,IN,1561404090,73,21.06,86.51,85.58,12.41
Nhulunbuy,40,AU,1561404090,77,-12.18,136.78,69.8,10.29
Srikakulam,2,IN,1561403957,78,18.29,83.89,82.7,4.21
Vila Velha,0,BR,1561404090,61,-3.71,-38.6,86.0,16.11
Alofi,75,NU,1561404090,94,-19.06,-169.92,68.0,14.72
Ulladulla,90,AU,1561404090,93,-35.36,150.48,51.8,1.12
Nuuk,75,GL,1561404091,93,64.17,-51.74,48.2,14.99
